DBN,Num of SAT Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
31R460,531,463,482,457
31R470,10,474,431,397
31R600,48,411,429,386
31R605,287,638,673,617
32K403,36,382,369,374
32K480,,,,
32K545,82,389,390,376
32K549,72,363,364,358
32K552,49,355,361,353
32K554,29,394,420,395
32K556,30,357,345,351
72X470,,,,
75K371,,,,
75M035,,,,
75Q004,,,,
75Q256,,,,
75R025,10,407,421,400
75X012,,,,
75X754,,,,
76K460,9,390,381,398
79X490,7,404,423,416
